NO,ITEM CODE,ITEM NAME,UOM,GROUP,GUD1,GUD2,GUD3,GUD4,GUD5,GUD6,GUD7,DRY,BUTCHER,KIMA3,INVENTORY
2356,FID3TSM010,STH Taste-Me Sambal Tumis Paste 24 X 120Gr,PCS,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2357,FID3TSM011,STH Taste-Me Chicken Curry Paste 24 X 120Gr,PCS,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2358,FID3TSM012,STH Taste-Me Hainanese Chicken Paste 24 X 100Gr,PCS,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2359,FID3TSM013,Sth Sesame Oil 8 Pcs x 2 Ltr,GAL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2360,FID3TSM014,Sth Sesame Oil 12X370 Ml,BTL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2361,FIN3FFS002,Burger King SFC Tomato Ketchup Pouch (12x1Kg),CTN,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2362,FIN3FFS003,Burger King SFC Mayonnaise (12x1Kg),CTN,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2363,FIT001,Salvadori Extra Virgin Olive Oil 12x1 L,BTL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2364,FIT03.FOL.102,Berni Pitted Green Olives 290Gr,JAR,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2365,FIT03.FOL.103,Berni Green Stuffed Olives 310G,JAR,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2366,FIT03.FOL.107,CR Kalamata Olives 1650Gr,JAR,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2367,FIT03.FOL.108,CR Kalamata Olives 300Gr,JAR,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2368,FIT3CIA003,Ciao Peeled Tomatoes 24X400 Gr,CAN,GROCERY,0,0,0,0,0,0,0,208,0,0,208
2369,FIT3CIA004,Ciao Pizza Sauce 3X4100 Gr,CAN,GROCERY,0,0,0,0,0,0,0,0,0,0,0
2370,FIT3CIA005,Ciao Tomato Paste 28/30 12X800 Gr,CAN,GROCERY,0,0,0,0,0,0,0,900,0,0,900
2371,FIT3CIA009,Ciao Chopped Tomatoes 24X400Gr Easy Open,CAN,GROCERY,0,0,0,0,0,0,0,13,0,0,13
2372,FIT3CIA010,Ciao Chopped Tomatoes 12X800Gr,CAN,GROCERY,0,0,0,0,0,0,0,0,0,0,0
2373,FIT3CIA011,Ciao White Beans 24X400Gr,CAN,GROCERY,0,0,0,0,0,0,0,39,0,0,39
2374,FIT3CIA012,Ciao Sweet Corn 12X326Gr,TIN,GROCERY,0,0,0,0,0,0,0,0,0,0,0
2375,FIT3DEC001,De Cecco Extra Virgin Olive Oil SOL2002 12X500Ml,BTL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2376,FIT3DEC002,De Cecco Extra Virgin Olive Oil COL8001 2X5Ltr,GAL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2377,FIT3DEC003,De Cecco Pesto Alla Genovese Cee SE16921 12X190Gr,PCK,GROCERY,0,0,0,0,0,0,0,0,0,0,0
2378,FIT3DEC004,De Cecco Sugo Alle Olive Cee 12X200Gr,PCK,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2379,FIT3DEC005,De Cecco Sugo Al Basilico Cee 12X200Gr,PCK,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2380,FIT3ECIA006,Ciao Tomato Paste 48X210 Gr,CAN,GROCERY,0,0,0,0,0,0,0,0,0,0,0
2381,FIT3GFD001,Angus House Gf White Truffle Oil 250Ml,BTL,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2382,FIT3GFD003,Angus House Gf Black Truffle Oil 250Ml,BTL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,6,0,0,6
2383,FIT3GFD019,Angus House Gf Truffle Sauce 500Gr,PCS,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2384,FIT3IFF001,Hulala Whipping 10X1000ML,PCK,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,1,0,0,1
2385,FIT3IFF002,Hulala Whipping 20X500ML,PCK,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2386,FIT3IFF004,Gran Cucina Cooking Cream 10X1000Gr,PCK,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,1,0,0,1
2387,FIT3IFF005,Gran Cucina Cooking Cream 20X500Gr,PCK,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2388,FIT3IFF009,Hulala Spray 12X250Gr,CAN,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,348,0,0,348
2389,FIT3NON001,M Aceto Balsamico Modena IGP 250 ml,BTL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2390,FIT3SAL002,Salvadori Extra Virgin Olive Oil 4x5L,GAL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2391,FIT3SAL003,Salvadori Pomace Olive Oil 4x5 L,GAL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2392,FIT3SAL004,Angus House Salvadori Extra Virgin Olive Oil 4x5L,GAL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2393,FIT3TSCH001,Toschi Modena Balsamico Pgi 250 Ml,BTL,GROCERY,0,0,0,0,0,0,0,0,0,0,0
2394,FIT3URB002,Urbani Truffle Sauce 500Gr/Jar,JAR,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2395,FKR3JSG001,Jinsung Bulgogi Marinade Sauce 20Btl X 500Gr,BTL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2396,FKR3JSG002,Jinsung Kalbi Marinade Sauce 20Btl X 500Gr,BTL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2397,FKR3JSG003,Jinsung Topokki Sauce Sweet&Spicy 235x20 btl,BTL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2398,FKR3JSG006,Jinsung Braised Fish (Boiled Fish) Sauce 220x20 btl,BTL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2399,FKR3JSG009,Jinsung Bulgogi Marinade Sauce 12Btl X 500Gr,BTL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,1774,0,0,1774
2400,FKR3JSG010,Jinsung Kalbi Marinade Sauce 12Btl X 500Gr,BTL,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,886,0,0,886
2401,FKR3ONG001,Jaincheong Mom's Red Pepper Paste (Gochujang) 48x170gr,PCS,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,27,0,0,27
2402,FKR3ONG002,Jaincheong Mom's Red Pepper Paste (Gochujang) 24X510GR,PCS,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
2403,FSG3IND001,D-Pizza Sauce Concentrate 6X3.17 Kg,CTN,CONDIMENT AND SAUCE,0,0,0,0,0,0,0,0,0,0,0
